Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
ABA.NZ,31/05/2017,31/05/2017,0.06414639970547897,0.1613203898115212,False,233532,34711,198821,178521,20300,-5087,871,16084,4954,10879,0,0,22251,22251,10879,10936,161,5248,-5087,34711,10226,10879,-83,-83,31641,0,-25.5647,273728,155169,118559,228209,117558,-80543,-9720,228209,-80543,110651,103596,22297,22297,22452,-6539,-13250,7055,4354,5263,-11254,1563,34880,-41988,11198,0,0,0,0,0,0,0,0,0,0,0.1506294971884583,0.17594462654314702,-0.3887258116451301
OCA.NZ,31/05/2017,31/05/2017,0.2312022696824425,0.1613203898115212,True,163433,0,163433,151265,12169,-19029,51937,45077,2401,42676,0,0,360868,360868,42676,47509,126.4619,19156,-19029,0,7522,42676,-5105,-5105,76859,0,-271.907,873066,428117,444949,444949,444949,428734,-407044,529387,428734,90560,74110,610255,610255,37010,-77071,46487,10327,0,16455,-31856,190168,137866,-271393,5154,-10155,0,6122,0,0,0,0,0,0,0,0.1506294971884583,0.17594462654314702,-0.3887258116451301
ABA.NZ,31/05/2018,31/05/2018,-0.521229554678661,0.1798518958956199,False,250210,36881,213329,191329,22000,-4502,-1386,16112,5789,12598,0,0,24727,24727,12598,10927,197,4699,-4502,36881,10011,10078,-1325,-1325,32147,0,-476.0691,306601,147613,158988,256238,158951,-76920,-17446,256238,-76920,97287,94210,25866,25866,29541,-44122,10459,3077,4802,4693,-16323,34873,68936,-84268,13218,0,0,0,0,0,0,0,0,0,0,0.11355942814940856,0.14975604412644805,0.34642236071674026
OCA.NZ,31/05/2018,31/05/2018,0.0538624104263874,0.1798518958956199,False,166218,0,166218,139796,26422,-2566,46192,70048,-1012,71060,0,0,604359,604359,71060,70238,152.3264,2718,-2566,0,8156,71060,1142,1142,79780,0,319.7563,1059042,563199,495843,646965,495843,479781,-322601,646965,479781,156515,134239,610255,610255,75914,-121299,52242,16883,0,2389,-30824,0,110587,-46592,45090,0,0,5392,0,0,0,0,0,0,0,0.11355942814940856,0.14975604412644805,0.34642236071674026
ABA.NZ,31/05/2019,31/05/2019,-0.3942983030224819,0.06628392998161736,False,279252,41852,237400,217100,20300,-5866,-2298,12136,4475,7618,0,0,0,0,7618,9430,92,5958,-5866,41852,11764,7618,-2871,-2871,32729,0,-1059,344820,190101,154719,292406,154673,-107474,-8447,292406,-107474,137733,134601,26187,26187,19237,-54366,35204,3132,5420,5967,-18610,0,70201,-27858,627,0,0,0,0,0,0,0,0,0,0,-0.012483642048690902,-0.019971438299306032,0.5162073624892847
OCA.NZ,31/05/2019,31/05/2019,-0.25301798753339266,0.06628392998161736,False,176061,0,176061,173822,2239,-2685,30991,29939,-12783,42722,0,0,604367,604367,42722,53018,136.5348,2822,-2685,0,8987,42722,-14300,-14300,56048,0,-4004,1317659,743385,574274,823466,574274,566112,-414113,823466,566112,254387,227759,610255,610255,84106,-144797,64903,21433,0,2967,-68639,1220,169856,-79427,15467,1220,0,5195,0,0,0,0,0,0,0,-0.012483642048690902,-0.019971438299306032,0.5162073624892847
AFC.NZ,31/03/2017,31/03/2017,-0.5,0.19613081072976102,False,12741,11264,1477,2771,-1294,-74.055,43.997,-1324,0,-896.704,0,0,3664253,3664253,-896.704,-896.704,2.78,76.835,-74.055,11264,151.499,-896.704,0,0,-1247,0,0,6704,1717,4987,3973,3973,3803,2826,3973,3803,0,0,3664253,3664253,-404.316,-525.85,1060,777.841,0.59,76.835,-525.85,3450,1263,-3631,-930.166,-21.728,0,0,0,0,0,0,0,0,0,0.13460303845717347,0.153836187194754,-0.1062138909553364
AFT.NZ,31/03/2017,31/03/2017,-0.02641515816687967,0.19613081072976102,False,63057,39458,23598,39308,-15710,-3225,2195,-16740,52.968,-16793,0,0,97112,97112,-16793,-16793,316.895,3542,-3225,39458,0,-16793,0,0,-13198,0,0,53179,35398,17781,39174,9448,15454,35365,30842,7121,21394,6800,96835,96835,-17408,-1459,8258,14594,-14.6119,2624,-111.4155,8332,0,0,-17520,-74.8858,8332,0,0,0,0,0,0,0,0,0.13460303845717347,0.153836187194754,-0.1062138909553364
AOR.NZ,31/03/2017,31/03/2017,0.0,0.19613081072976102,False,60,0,60,1006,-1006,3,85,-918,0,-918,-0.0041,-0.0041,228.804,228.804,-918,-918,3,0,3,0,0,-918,0,0,-1006,0,0,814,373,441,476,441,441,-153,476,441,35,0,1210527,1210527,-660,82,467,56,-1,0,0,432,35,0,-660,0,0,0,0,0,0,0,0,0,0,0.13460303845717347,0.153836187194754,-0.1062138909553364
APL.NZ,31/03/2017,31/03/2017,0.07127348889149121,0.19613081072976102,False,17152,5003,12149,2885,9264,-2726,-2315,4223,1150,3073,0,0,161920,161920,3073,3136,69,2795,-2726,5003,0,3073,-87,-87,7105,0,-23.6917,182349,65276,117073,175573,117073,117073,223,175573,117073,58500,56470,161920,161920,4144,-9924,4709,2030,1055,2794,-584,0,0,10500,3560,0,0,0,0,0,0,0,0,0,0,0.13460303845717347,0.153836187194754,-0.1062138909553364
