"ANNOUNCEMENT_NUMBER","COMPANY_ID","CREATED_ON","BALANCE_DATE","AMOUNT","SHAREHOLDER_FUNDS","INTANGIBLES","EFPO_ISSUED_SHARES","CURRENCY_ID","LAST_EOY_DATE","COY_COMPANY_NO","COA_LAST_MODIFIED","COA_RELEASE_DATETIME","COA_ANN_TYPE","INS_ISIN","INS_ISIN_SUFFIX","INS_INSTR_CODE"
199658,"SAT000000",13/09/2010,30/06/2010,-279000,35012000,262000,16340361,"NZD",31/12/2009,"SAT000000",13/09/2010,13/09/2010,"HALFYR","NZSATE0001S7","  ","SAT"
199661,"SGL000000",13/09/2010,30/06/2010,-5100000,178700,10000,10834576,"NZD",31/03/2010,"SGL000000",13/09/2010,13/09/2010,"FLLYR","NZSGLE0001S1","  ","SGL16"
199676,"OMG000000",14/09/2010,30/06/2010,-2389000,7648000,0,414550000,"USD",30/06/2010,"OMG000000",14/09/2010,14/09/2010,"FLLYR","NZRLVE0001S2","  ","MEE"
199677,"RIS000000",13/09/2010,30/06/2010,-3545000,3388000,4441000,557834926,"AUD",31/03/2009,"RIS000000",14/09/2010,14/09/2010,"FLLYR","NZHSIE0001S5","  ","CGL"
199359,"WSI000000",06/09/2010,30/06/2010,1147000,31293000,6145000,69500000,"NZD",30/06/2009,"WSI000000",06/09/2010,06/09/2010,"FLLYR","NZWSIE0001S4","  ","WSI"
199623,"SDL000000",12/09/2010,30/06/2010,-121000,1391000,938000,11273095,"NZD",30/06/2009,"SDL000000",13/09/2010,13/09/2010,"FLLYR","NZSDLE0001S8","  ","SDL"
199626,"STH000000",12/09/2010,30/06/2010,-946000,6585000,3272000,25343741,"NZD",30/06/2009,"STH000000",13/09/2010,13/09/2010,"FLLYR","NZSTHE0001S2","  ","STH"
199653,"WTL000000",13/09/2010,30/06/2010,-7950000,6762000,2677000,11993489,"NZD",30/06/2009,"WTL000000",13/09/2010,13/09/2010,"FLLYR","NZWTLE0001S6","  ","WTL"
199863,"WEL000000",17/09/2010,30/06/2010,-623000,2498000,0,15688956,"NZD",30/06/2009,"WEL000000",17/09/2010,17/09/2010,"FLLYR","NZWELE0002S6","  ","WEL14"
199544,"WHS000000",10/09/2010,01/08/2010,117729000,302906000,0,311195868,"NZD",02/08/2009,"WHS000000",10/09/2010,10/09/2010,"FLLYR","NZWHSE0001S6","  ","WHS"
200835,"SCT000000",08/10/2010,31/08/2010,3702000,21411000,6607000,31322369,"NZD",31/08/2010,"SCT000000",08/10/2010,08/10/2010,"FLLYR","NZSCTE0001S3","  ","SCT"
200235,"HLG000000",26/09/2010,01/08/2010,19581000,62064000,592000,59649061,"NZD",01/08/2009,"HLG000000",27/09/2010,27/09/2010,"FLLYR","NZHLGE0001S4","  ","HLG"
199577,"ATM000000",10/09/2010,30/06/2010,-2194000,7267000,0,501507800,"NZD",30/06/2010,"ATM000000",10/09/2010,10/09/2010,"FLLYR","NZATME0002S8","  ","ATM"
199584,"BGR000000",10/09/2010,01/08/2010,6636000,123779000,845000,127621000,"NZD",30/01/2010,"BGR000000",10/09/2010,10/09/2010,"HALFYR","NZBGRE0001S4","  ","BGP"
199597,"ALF000000",10/09/2010,30/06/2010,-79143000,31035000,1250000,2042294858,"NZD",30/06/2010,"ALF000000",10/09/2010,10/09/2010,"FLLYR","NZALFE0001S1","  ","ALF"
199722,"TCL000000",15/09/2010,30/06/2010,107987000,511026000,0,208519868,"GBP",30/06/2010,"TCL000000",15/09/2010,15/09/2010,"FLLYR","GB0001990497","  ","TCL"
200165,"KMD000000",24/09/2010,31/07/2010,9387000,239127000,241825000,200000000,"NZD",31/07/2009,"KMD000000",24/09/2010,24/09/2010,"FLLYR","NZKMDE0001S3","  ","KMD"
200050,"PPL000000",22/09/2010,30/07/2010,25502000,80867000,8435000,166814799,"NZD",30/07/2009,"PPL000000",22/09/2010,22/09/2010,"FLLYR","NZPPLE0001S8","  ","PPL"
201519,"KRK000000",27/10/2010,31/08/2010,-1867000,20855000,642000,10250000,"NZD",31/08/2009,"KRK000000",27/10/2010,27/10/2010,"FLLYR","NZKRKE0002S5","  ","KRK"
201564,"ANZ000000",28/10/2010,30/09/2010,2576000000,34155000000,6630000000,2559700000,"AUD",30/09/2010,"ANZ000000",28/10/2010,28/10/2010,"FLLYR","AU000000ANZ3","  ","ANZ"
201872,"WBC000000",05/11/2010,30/09/2010,6346000000,40118000000,11504000000,2989207519,"AUD",30/09/2009,"WBC000000",03/11/2010,03/11/2010,"FLLYR","AU000000WBC1","  ","WBC"
200912,"IRG000000",11/10/2010,31/03/2010,-2241140,1017006,1282245,152096659,"NZD",31/03/2009,"IRG000000",12/10/2010,12/10/2010,"FLLYR","NZVIKE0002S1","  ","AFC"
201211,"RBD000000",19/10/2010,13/09/2010,8871000,42300000,24262000,97704468,"NZD",28/02/2010,"RBD000000",20/10/2010,20/10/2010,"HALFYR","NZRBDE0001S1","  ","RBD"
202523,"DPC000000",17/11/2010,30/09/2010,15679000,27349000,1210000,175985867,"NZD",30/03/2010,"DPC000000",17/11/2010,17/11/2010,"HALFYR","NZVNLE0001S1","  ","TRA"
202537,"CBS000000",17/11/2010,30/09/2010,-1693100,49880134,9701954,12522070,"NZD",30/03/2010,"CBS000000",17/11/2010,17/11/2010,"HALFYR","NZABSE0001S5","  ","CBS"
202544,"MFT000000",17/11/2010,30/09/2010,16467000,304129000,124977000,98469190,"NZD",31/03/2010,"MFT000000",18/11/2010,18/11/2010,"HALFYR","NZMFTE0001S9","  ","MFT"
202556,"RYM000000",19/11/2010,30/09/2010,52267000,490472000,0,500000000,"NZD",30/03/2010,"RYM000000",18/11/2010,18/11/2010,"HALFYR","NZRYME0001S4","  ","RYM"
201666,"FIN000000",31/10/2010,30/09/2010,416000,2910000,2234000,8300000,"NZD",31/03/2010,"FIN000000",29/10/2010,29/10/2010,"HALFYR","NZFINE0001S0","  ","FIN"
201674,"SPY000000",31/10/2010,29/09/2010,-1969000,10209000,5350000,926888203,"NZD",30/03/2010,"SPY000000",29/10/2010,29/10/2010,"HALFYR","NZDMBE0001S2","  ","SPY"
202133,"WFD000000",09/11/2010,29/09/2010,-1865000,93164000,23296000,14162777,"NZD",31/03/2010,"WFD000000",09/11/2010,09/11/2010,"HALFYR","NZWFDE0001S2","  ","ACY"
202167,"KPF000000",09/11/2010,30/09/2010,-6837000,54241000,0,82380235,"NZD",31/03/2010,"KPF000000",09/11/2010,09/11/2010,"HALFYR","NZKPFE0001S1","  ","AUG"
202197,"GMT000000",10/11/2010,30/09/2010,-100800000,747700000,12000000,883368062,"NZD",31/03/2010,"GMT000000",10/11/2010,10/11/2010,"HALFYR","NZCPTE0001S9","  ","GMT"
202300,"KPG000000",11/11/2010,30/09/2010,-118486000,904716000,4601000,972581998,"NZD",31/03/2010,"KPG000000",22/12/2014,12/11/2010,"HALFYR","NZKPGE0001S9","  ","KPG"
202427,"IFT000000",15/11/2010,30/09/2010,16100000,916000000,308900000,601616935,"NZD",30/03/2010,"IFT000000",16/11/2010,16/11/2010,"HALFYR","NZIFTE0003S3","  ","IFT"
202620,"BLT000000",21/11/2010,30/09/2010,-403000,4836000,2028000,138846586,"NZD",30/03/2010,"BLT000000",19/11/2010,19/11/2010,"HALFYR","NZBLTE0002S8","  ","BLT"
202624,"KFL000000",19/11/2010,30/09/2010,-345000,93962000,0,88265205,"NZD",30/03/2010,"KFL000000",19/11/2010,19/11/2010,"HALFYR","NZKFLE0001S0","  ","KFL"
202631,"SLG000000",21/11/2010,29/09/2010,-941434,13272530,0,124090190,"NZD",30/03/2010,"SLG000000",19/11/2010,19/11/2010,"HALFYR","NZIGVE0001S1","  ","FMS"
202660,"WEN000000",21/11/2010,30/09/2010,-185457,1374255,778197,23987272,"NZD",31/03/2010,"WEN000000",22/11/2010,22/11/2010,"HALFYR","NZWENE0003S0","  ","CRP17"
202692,"PHB000000",22/11/2010,30/09/2010,2180000,40321000,1156000,99903000,"NZD",30/03/2010,"PHB000000",22/11/2010,22/11/2010,"HALFYR","NZBDOE0001S8","  ","GXH"
202901,"FPA000000",26/11/2010,30/09/2010,11298000,599122000,214095000,724235162,"NZD",31/03/2010,"FPA000000",26/11/2010,26/11/2010,"HALFYR","NZFPAE0001S2","  ","FPA"
202911,"TWR000000",26/11/2010,30/09/2010,57554000,438409000,55022000,258719484,"NZD",30/09/2009,"TWR000000",26/11/2010,26/11/2010,"FLLYR","NZTWRE0011S2","  ","TWR"
202935,"MDZ000000",26/11/2010,30/09/2010,-113000,27325000,0,16796112,"NZD",30/03/2010,"MDZ000000",02/11/2016,26/11/2010,"HALFYR","NZMDZE0002S9","  ","MDZ"
202937,"TNZ000000",26/11/2010,30/09/2010,-1510000,53984000,0,64761768,"NZD",30/03/2010,"TNZ000000",02/11/2016,26/11/2010,"HALFYR","NZTNZE0002S3","  ","TNZ"
202939,"OZY000000",26/11/2010,30/09/2010,-6239000,102731000,0,28319941,"NZD",31/03/2010,"OZY000000",02/11/2016,26/11/2010,"HALFYR","NZOZYE0002S1","  ","OZY"
202940,"MZY000000",26/11/2010,30/09/2010,-2412000,53824000,0,10102117,"NZD",31/03/2010,"MZY000000",02/11/2016,26/11/2010,"HALFYR","NZMZYE0002S5","  ","MZY"
203523,"CFG000000",13/12/2010,30/09/2010,604000,-4164000,0,22088875,"NZD",31/03/2010,"CFG000000",13/12/2010,13/12/2010,"HALFYR","NZCFGE0001S7","  ","CGF"
203575,"BFW000000",13/12/2010,30/09/2010,-219000,3096000,154000,53210000,"NZD",31/03/2010,"BFW000000",13/12/2010,13/12/2010,"HALFYR","NZBFWE0001S6","  ","BFG"
203768,"CYT000000",16/12/2010,30/09/2010,102000,5666000,0,122885996,"NZD",31/03/2010,"CYT000000",17/12/2010,17/12/2010,"HALFYR","NZROCE0001S6","  ","CYT"
203773,"FCS000000",16/12/2010,31/10/2010,2694000,209186000,0,40100990,"GBP",30/04/2010,"FCS000000",17/12/2010,17/12/2010,"HALFYR","GB0000175058","  ","FCS"
202955,"CVT000000",26/11/2010,30/09/2010,-2211000,61844000,43461000,28490420,"NZD",31/03/2010,"CVT000000",26/11/2010,26/11/2010,"HALFYR","NZCVTE0001S7","  ","CVT"
202994,"MVN000000",29/11/2010,30/09/2010,4282000,53864000,39335000,66606265,"NZD",31/03/2010,"MVN000000",29/11/2010,29/11/2010,"HALFYR","NZMVNE0001S9","  ","MVN"
203002,"PEB000000",29/11/2010,30/09/2010,-1398000,4183000,0,162393279,"NZD",31/03/2010,"PEB000000",29/11/2010,29/11/2010,"HALFYR","NZPEBE0002S1","  ","PEB"
203013,"ING000000",29/11/2010,30/09/2010,-89632000,404981000,0,544276193,"NZD",31/03/2010,"ING000000",29/11/2010,29/11/2010,"HALFYR","NZARGE0010S7","  ","ARG"
203021,"MOW000000",29/11/2010,30/09/2010,297000,4437000,698000,11155523,"NZD",31/03/2010,"MOW000000",29/11/2010,29/11/2010,"HALFYR","NZMOWE0001S5","  ","TLL"
203033,"RNS000000",29/11/2010,30/09/2010,301000,13369000,8965000,45696520,"NZD",31/12/2009,"RNS000000",29/11/2010,29/11/2010,"FLLYR","NZTMPE0001S8","  ","RNS"
203040,"JFJ000000",01/12/2010,29/09/2010,7268000,306106000,0,161458078,"GBP",30/09/2009,"JFJ000000",30/11/2010,30/11/2010,"FLLYR","GB0001740025","  ","JFJ"
203046,"TEM000000",30/11/2010,30/09/2010,18349000,2200060000,0,329914352,"GBP",31/03/2010,"TEM000000",30/11/2010,30/11/2010,"HALFYR","GB0008829292","  ","TEM"
203052,"FMG000000",30/11/2010,30/09/2010,-351000,-922006,169000,83112913,"NZD",31/03/2010,"FMG000000",30/11/2010,30/11/2010,"HALFYR","NZSMRE0001S6","  ","PLX"
203060,"TRS000000",30/11/2010,30/09/2010,-31000,-43000,0,1107396153,"NZD",31/03/2010,"TRS000000",30/11/2010,30/11/2010,"HALFYR","NZECHE0001S8","  ","TRS"
203062,"CER000000",30/11/2010,30/09/2010,-133000,1276000,0,256733227,"NZD",31/03/2010,"CER000000",30/11/2010,30/11/2010,"HALFYR","NZRSAE0001S1","  ","SEA"
203073,"INS000000",01/12/2010,30/09/2010,232000,4189000,8342000,1503653284,"AUD",31/03/2010,"INS000000",30/11/2010,30/11/2010,"HALFYR","NZAHLE0001S7","  ","INS"
203307,"JTM000000",05/12/2010,30/09/2010,1207000,4404000,5187000,19833333,"NZD",31/03/2010,"JTM000000",06/12/2010,06/12/2010,"HALFYR","NZJTME0001S1","  ","JTM"
203622,"GFL000000",14/12/2010,30/09/2010,-950000,13781000,3174000,80539176,"NZD",31/03/2010,"GFL000000",14/12/2010,14/12/2010,"HALFYR","NZGFLE0001S8","  ","GFL"
203638,"PLU000000",14/12/2010,30/09/2010,-2354092,-2628096,231641,27449818,"NZD",31/03/2010,"PLU000000",14/12/2010,14/12/2010,"HALFYR","NZPLUE0001S8","  ","PLE"
202773,"CDN000000",25/11/2010,30/09/2010,42700000,1224100000,0,58222551,"GBP",30/03/2010,"CDN000000",24/11/2010,24/11/2010,"HALFYR","GB0001639920","  ","CDN"
202778,"FPH000000",23/11/2010,30/09/2010,16873000,294629000,4672000,517418502,"NZD",31/03/2010,"FPH000000",24/11/2010,24/11/2010,"HALFYR","NZFAPE0001S2","  ","FPH"
202792,"ECO000000",24/11/2010,30/09/2010,-2528000,13179000,17829000,49835908,"NZD",31/03/2010,"ECO000000",24/11/2010,24/11/2010,"HALFYR","NZECOE0001S4","  ","TIL"
202810,"SAN000000",24/11/2010,30/09/2010,25004000,552202000,454850000,93626735,"NZD",30/09/2009,"SAN000000",24/11/2010,24/11/2010,"FLLYR","NZSANE0001S0","  ","SAN"
202338,"HFL000000",15/11/2010,31/08/2010,43782000,284916000,0,96580564,"GBP",31/08/2009,"HFL000000",15/11/2010,15/11/2010,"FLLYR","JE00B1GXH751","  ","HFL"
202398,"HED000000",15/11/2010,30/09/2010,2546000,54894000,1387000,24991385,"NZD",31/03/2010,"HED000000",15/11/2010,15/11/2010,"HALFYR","NZBOPE0001S2","  ","HED"
202848,"SEK000000",24/11/2010,30/09/2010,11044000,70087000,4793000,14433328,"NZD",31/03/2010,"SEK000000",25/11/2010,25/11/2010,"HALFYR","NZSEKE0001S8","  ","SEK"
202850,"NAP000000",26/11/2010,30/09/2010,-13035000,112951000,0,193326254,"NZD",31/03/2010,"NAP000000",25/11/2010,25/11/2010,"HALFYR","NZNAPE0007S3","  ","APL"
202237,"XRO000000",10/11/2010,30/09/2010,-4726000,20871000,3634000,88256901,"NZD",31/03/2010,"XRO000000",11/11/2010,11/11/2010,"HALFYR","NZXROE0001S2","  ","XRO"
202243,"RAK000000",11/11/2010,29/09/2010,5582000,197806000,36791000,191038591,"NZD",30/03/2010,"RAK000000",11/11/2010,11/11/2010,"HALFYR","NZRAKE0001S8","  ","RAK"
202244,"DNZ000000",11/11/2010,29/09/2010,-112833000,314273000,3000000,244876090,"NZD",31/03/2010,"DNZ000000",11/11/2010,11/11/2010,"HALFYR","NZDNZE0001S9","  ","STR"
203140,"ZIN000000",01/12/2010,30/09/2010,-127000,10546000,3156000,10680000,"NZD",31/03/2010,"ZIN000000",01/12/2010,01/12/2010,"HALFYR","NZZINE0001S8","  ","ZIN"
203081,"WID000000",01/12/2010,30/09/2010,-151000,4237000,0,23490449,"NZD",31/03/2010,"WID000000",30/11/2010,30/11/2010,"HALFYR","NZNZIE0007S5","  ","SMW"
203091,"HGD000000",30/11/2010,30/09/2010,-241541,10697363,7897710,343553188,"NZD",31/03/2010,"HGD000000",30/11/2010,30/11/2010,"HALFYR","NZHERE0001S6","  ","NTL"
203099,"NZF000000",30/11/2010,30/09/2010,-784000,12795000,10565000,76666668,"NZD",31/03/2010,"NZF000000",30/11/2010,30/11/2010,"HALFYR","NZNZFE0001S4","  ","BGI"
203440,"EUT000000",16/01/2011,30/09/2010,9373000,277847000,0,42700748,"GBP",30/09/2009,"EUT000000",09/12/2010,09/12/2010,"FLLYR","GB0003295010","  ","EUT"
204096,"SCY000000",22/12/2010,31/10/2010,790000,45944000,3206000,52956884,"NZD",30/04/2010,"SCY000000",23/12/2010,23/12/2010,"HALFYR","NZSCYE0001S3","  ","SCY"
204895,"SDL000000",26/01/2011,31/12/2010,121000,1512000,1659000,11273095,"NZD",30/06/2010,"SDL000000",26/01/2011,26/01/2011,"HALFYR","NZSDLE0001S8","  ","SDL"
203973,"ABA000000",21/12/2010,30/11/2010,2197000,108317000,88094000,20896287,"NZD",31/05/2010,"ABA000000",21/12/2010,21/12/2010,"HALFYR","NZNPEE0001S8","  ","ABA"
203911,"IRG000000",11/01/2013,30/09/2010,-344720,20090380,1282245,152096659,"NZD",30/03/2010,"IRG000000",20/12/2010,20/12/2010,"INTERIM","NZVIKE0002S1","  ","AFC"
205355,"NEW000000",09/02/2011,31/12/2010,1915000,26069000,3558000,234924584,"NZD",30/06/2010,"NEW000000",09/02/2011,09/02/2011,"HALFYR","NZEOLE0001S5","  ","NEW"
205584,"FBU000000",15/02/2011,31/12/2010,166000000,3148000000,1255000000,611250393,"NZD",30/06/2010,"FBU000000",16/02/2011,16/02/2011,"HALFYR","NZFBUE0001S0","  ","FBU"
205585,"SKC000000",15/02/2011,31/12/2010,67152000,785067000,422974000,575114687,"NZD",30/06/2010,"SKC000000",16/02/2011,16/02/2011,"HALFYR","NZSKCE0001S2","  ","SKC"
205588,"ATM000000",16/02/2011,31/12/2010,894000,24075000,10376000,554647326,"NZD",30/06/2010,"ATM000000",16/02/2011,16/02/2011,"HALFYR","NZATME0002S8","  ","ATM"
205599,"NTH000000",15/02/2011,31/12/2010,2114753,130499448,0,41300651,"NZD",30/06/2010,"NTH000000",16/02/2011,16/02/2011,"HALFYR","NZNTHE0001S3","  ","MMH"
205621,"CDI000000",16/02/2011,31/12/2010,2912000,94386000,0,252775130,"NZD",31/12/2009,"CDI000000",16/02/2011,16/02/2011,"FLLYR","NZKGLE0001S8","  ","CDI"
205624,"SKL000000",16/02/2011,31/12/2010,9829000,106081000,50274000,192805807,"NZD",30/06/2010,"SKL000000",16/02/2011,16/02/2011,"HALFYR","NZSKXE0001S8","  ","SKL"
205627,"MCK000000",16/02/2011,31/12/2010,-10123000,510868000,3284000,349268439,"NZD",31/12/2009,"MCK000000",15/07/2014,16/02/2011,"FLLYR","NZMCKE0004S9","  ","MCK"
204936,"AFI000000",06/02/2011,31/12/2010,122124000,4260113000,0,1013151345,"AUD",30/06/2010,"AFI000000",27/01/2011,27/01/2011,"HALFYR","AU000000AFI5","  ","AFI"
205390,"APT000000",10/02/2011,31/12/2010,28400000,927700000,0,997718478,"NZD",30/06/2010,"APT000000",10/02/2011,10/02/2011,"HALFYR","NZAPTE0001S3","  ","PCT"
205396,"LIC000000",09/02/2011,30/11/2010,24905000,191427000,23087000,29528590,"NZD",30/05/2010,"LIC000000",10/02/2011,10/02/2011,"HALFYR","NZLICE0001S1","  ","LIC"
205398,"TLS000000",09/02/2011,31/12/2010,1194000000,11985000000,7571000000,12443074360,"AUD",30/06/2010,"TLS000000",10/02/2011,10/02/2011,"HALFYR","AU000000TLS2","  ","TLS"
205413,"STU000000",10/02/2011,31/12/2010,8000000,148688000,19923000,88372340,"NZD",30/06/2010,"STU000000",10/02/2011,10/02/2011,"HALFYR","NZSUTE0001S5","  ","STU"
204645,"BIT000000",17/01/2011,31/10/2010,70690000,501955000,0,111085839,"GBP",31/10/2009,"BIT000000",18/01/2011,18/01/2011,"FLLYR","GB0000767003","  ","BIT"
204781,"GLL000000",11/01/2013,31/12/2010,35800000,1040000000,181800000,1368063633,"USD",30/06/2010,"GLL000000",24/01/2011,24/01/2011,"HALFYR","BMG4210D1020","  ","GLL"
205537,"TCL000000",14/02/2011,31/12/2010,103347000,624889000,0,217584868,"GBP",30/06/2010,"TCL000000",15/02/2011,15/02/2011,"HALFYR","GB0001990497","  ","TCL"
